UnixTime,BattT,BFGcurrent
1701903852,27.58,3.32
1701903865,27.82,0.20
1701903880,27.82,0.20
1701903895,27.82,0.20
1701903910,27.82,-2.93
1701903925,27.82,0.20
1701903940,27.82,6.45
1701903955,27.82,3.32
1701903970,27.82,3.32
1701903985,27.82,3.32
1701904000,27.82,3.32
1701904015,27.82,3.32
1701904030,27.82,0.20
1701904045,27.82,3.32
1701904060,27.82,3.32
1701904075,27.82,3.32
1701904090,27.58,0.20
1701904105,27.58,0.20
1701904120,27.58,0.20
1701904135,27.58,0.20
1701904150,27.58,0.20
1701904165,27.58,3.32
1701904180,27.58,3.32
1701904195,27.58,0.20
1701904210,27.58,0.20
1701904225,27.58,0.20
1701904240,27.58,3.32
1701904255,27.58,0.20
1701904270,27.58,3.32
1701904285,27.58,-2.93
1701904300,27.58,3.32
1701904315,27.58,0.20
1701904330,27.58,0.20
1701904345,27.58,0.20
1701904360,27.58,0.20
1701904375,27.58,0.20
1701904390,27.58,0.20
1701904405,27.58,3.32
1701904420,27.58,3.32
1701904435,27.58,0.20
1701904450,27.58,3.32
1701904465,27.58,3.32
1701904480,27.58,3.32
1701904495,27.58,3.32
1701904510,27.58,0.20
1701904525,27.58,0.20
1701904540,27.58,0.20
1701904555,27.58,3.32
1701904570,27.58,3.32
1701904585,27.58,3.32
1701904600,27.58,0.20
1701904615,27.58,0.20
1701904630,27.58,0.20
1701904645,27.58,3.32
1701904660,27.58,6.45
1701904675,27.58,0.20
1701904690,27.58,0.20
1701904705,27.58,3.32
1701904720,27.58,0.20
1701904735,27.58,0.20
1701904750,27.58,3.32
1701904765,27.58,-2.93
1701904780,27.58,0.20
1701904795,27.58,3.32
1701904810,27.58,3.32
1701904825,27.58,-2.93
1701904840,27.58,0.20
1701904855,27.58,0.20
1701904870,27.58,0.20
1701904885,27.58,0.20
1701904900,27.58,3.32
1701904915,27.58,0.20
1701904930,27.58,3.32
1701904945,27.58,0.20
1701904960,27.58,0.20
1701904975,27.58,-2.93
1701904990,27.58,3.32
1701905005,27.58,0.20
1701905020,27.58,0.20
1701905034,27.58,3.32
1701905049,27.58,-2.93
1701905064,27.82,0.20
1701905079,27.82,0.20
1701905094,27.82,0.20
1701905109,27.82,3.32
1701905124,27.82,6.45
1701905139,27.82,6.45
1701905154,27.82,3.32
1701905169,27.82,0.20
1701905184,27.82,-2.93
1701905199,27.82,0.20
1701905214,27.58,0.20
1701905229,27.58,0.20
1701905244,27.82,0.20
1701905259,27.58,0.20
1701905274,27.58,0.20
1701905289,27.58,3.32
1701905304,27.58,3.32
1701905319,27.58,3.32
1701905334,27.58,3.32
1701905349,27.58,0.20
1701905364,27.58,0.20
1701905379,27.58,0.20
1701905394,27.58,0.20
1701905409,27.58,0.20
1701905424,27.58,3.32
1701905439,27.58,0.20
1701905454,27.58,0.20
1701905469,27.58,-2.93
1701905484,27.58,0.20
1701905499,27.58,3.32
1701905514,27.58,0.20
1701905529,27.58,-2.93
1701905544,27.58,-2.93
1701905559,27.58,0.20
1701905574,27.58,0.20
1701905589,27.58,0.20
1701905604,27.58,0.20
1701905619,27.58,-2.93
1701905634,27.58,0.20
1701905649,27.58,3.32
1701905664,27.58,0.20
1701905679,27.58,3.32
1701905694,27.58,0.20
1701905709,27.58,3.32
1701905724,27.58,3.32
1701905739,27.58,0.20
1701905754,27.58,0.20
1701905769,27.58,0.20
1701905784,27.58,0.20
1701905799,27.58,0.20
1701905814,27.58,0.20
1701905829,27.58,3.32
1701905844,27.58,3.32
1701905859,27.58,0.20
1701905874,27.58,3.32
1701905889,27.58,0.20
1701905904,27.58,3.32
1701905919,27.58,0.20
1701905934,27.58,6.45
1701905949,27.58,3.32
1701905964,27.58,0.20
1701905979,27.58,0.20
1701905994,27.58,0.20
1701906009,27.58,0.20
1701906024,27.58,0.20
1701906039,27.58,3.32
1701906054,27.58,0.20
1701906069,27.58,3.32
1701906084,27.58,0.20
1701906099,27.58,0.20
1701906114,27.58,0.20
1701906129,27.58,-2.93
1701906144,27.58,3.32
1701906159,27.58,3.32
1701906174,27.58,3.32
1701906189,27.58,0.20
1701906204,27.58,0.20
1701906219,27.58,0.20
1701906233,27.58,-2.93
1701906248,27.58,3.32
1701906263,27.58,3.32
1701906278,27.82,0.20
1701906293,27.58,0.20
1701906308,27.58,-2.93
1701906323,27.58,3.32
1701906338,27.58,-2.93
1701906353,27.58,3.32
1701906368,27.58,0.20
1701906383,27.58,3.32
1701906398,27.58,0.20
1701906413,27.58,-2.93
1701906428,27.58,0.20
1701906443,27.58,0.20
1701906458,27.58,3.32
1701906473,27.58,0.20
1701906488,27.58,0.20
1701906503,27.58,3.32
1701906518,27.58,3.32
1701906533,27.58,3.32
1701906548,27.58,0.20
1701906563,27.58,3.32
1701906578,27.58,3.32
1701906593,27.58,3.32
1701906608,27.58,3.32
1701906623,27.58,0.20
1701906638,27.58,6.45
1701906653,27.58,0.20
1701906668,27.58,0.20
1701906683,27.58,3.32
1701906698,27.58,0.20
1701906713,27.58,3.32
1701906728,27.58,3.32
1701906743,27.58,3.32
1701906758,27.58,3.32
1701906773,27.58,-2.93
1701906788,27.58,6.45
1701906803,27.58,0.20
1701906818,27.58,0.20
1701906833,27.58,0.20
1701906848,27.58,3.32
1701906863,27.58,3.32
1701906878,27.58,0.20
1701906893,27.58,-2.93
1701906908,27.58,6.45
1701906923,27.58,3.32
1701906938,27.58,-2.93
1701906953,27.58,0.20
1701906968,27.58,0.20
1701906983,27.58,-2.93
1701906998,27.58,3.32
1701907013,27.58,3.32
1701907028,27.58,0.20
1701907043,27.58,0.20
1701907058,27.58,0.20
1701907073,27.58,3.32
1701907088,27.58,-2.93
1701907103,27.58,0.20
1701907118,27.58,0.20
1701907133,27.58,0.20
1701907148,27.58,0.20
1701907163,27.58,-2.93
1701907178,27.58,-2.93
1701907193,27.58,0.20
1701907208,27.58,0.20
1701907223,27.58,0.20
1701907238,27.58,0.20
1701907253,27.58,3.32
1701907268,27.58,0.20
1701907283,27.58,-2.93
1701907298,27.58,0.20
1701907313,27.58,3.32
1701907328,27.58,0.20
1701907343,27.58,-2.93
1701907358,27.58,3.32
1701907373,27.58,3.32
1701907388,27.58,-2.93
1701907403,27.58,3.32
1701907418,27.58,3.32
1701907432,27.33,3.32
1701907447,27.58,0.20
1701907462,27.58,0.20
1701907477,27.58,-2.93
1701907492,27.58,0.20
1701907507,27.58,3.32
1701907522,27.58,3.32
1701907537,27.58,3.32
1701907552,27.58,-2.93
1701907567,27.58,-2.93
1701907582,27.58,3.32
1701907597,27.58,0.20
1701907612,27.58,0.20
1701907627,27.58,3.32
1701907642,27.58,0.20
1701907658,27.58,3.32
1701907673,27.58,0.20
1701907687,27.58,0.20
1701907701,27.58,3.32
1701907715,27.58,0.20
1701907729,27.58,0.20
1701907743,27.58,6.45
1701907757,27.58,0.20
1701907771,27.58,0.20
1701907785,27.58,-2.93
1701907799,27.58,0.20
1701907813,27.58,0.20
1701907827,27.58,0.20
1701907841,27.58,3.32
1701907855,27.58,0.20
1701907869,27.58,0.20
1701907883,27.58,3.32
1701907897,27.58,-2.93
1701907911,27.58,-2.93
1701907925,27.58,-77.93
1701907939,27.33,-77.93
1701907953,27.08,-77.93
1701907967,27.08,-84.18
1701907981,26.83,-84.18
1701907995,26.83,-74.81
1701908009,26.58,-84.18
1701908023,26.58,-77.93
1701908037,26.33,-74.81
1701908051,26.33,-77.93
1701908065,26.08,-84.18
1701908079,26.08,-77.93
1701908093,26.08,-77.93
1701908107,25.83,-87.31
1701908121,25.83,-87.31
1701908135,25.83,-77.93
1701908149,25.83,-74.81
1701908163,25.58,-74.81
1701908177,25.58,-77.93
1701908191,25.58,-77.93
1701908205,25.58,-84.18
1701908219,25.58,-77.93
1701908233,25.33,-87.31
1701908247,25.33,-74.81
1701908261,25.33,-77.93
1701908275,25.33,-87.31
1701908289,25.33,-81.06
1701908303,25.09,-77.93
1701908318,25.09,-77.93
1701908333,25.09,-87.31
1701908348,25.09,-77.93
1701908363,25.09,-74.81
1701908378,25.09,-84.18
1701908393,25.09,-87.31
1701908408,24.84,-74.81
1701908423,24.84,-87.31
1701908438,24.84,-77.93
1701908453,24.84,-74.81
1701908468,24.84,-84.18
1701908483,25.09,2106.51
1701908498,25.33,590.84
1701908513,25.58,250.20
1701908528,25.83,147.07
1701908543,25.83,97.07
1701908558,26.08,68.95
1701908573,26.08,53.32
1701908587,26.08,40.82
1701908602,26.33,34.57
1701908617,26.33,31.45
1701908632,26.58,28.32
1701908647,26.58,25.20
1701908662,26.58,18.95
1701908677,26.58,18.95
1701908692,26.58,15.82
1701908707,26.83,15.82
1701908722,26.83,15.82
1701908737,26.83,12.70
1701908752,26.83,15.82
1701908767,26.83,9.57
1701908782,26.83,9.57
1701908797,26.83,6.45
1701908812,26.83,6.45
1701908827,26.83,6.45
1701908842,26.83,6.45
1701908857,26.83,3.32
1701908872,26.83,6.45
1701908887,26.83,3.32
1701908902,26.83,6.45
1701908917,27.08,3.32
1701908932,27.08,6.45
1701908947,27.08,6.45
1701908962,27.08,3.32
1701908977,27.08,6.45
1701908992,27.08,3.32
1701909007,27.08,3.32
1701909022,27.08,3.32
1701909037,27.08,3.32
1701909052,27.08,0.20
1701909067,27.08,6.45
1701909082,27.08,3.32
1701909097,27.08,3.32
1701909112,27.08,3.32
1701909127,27.08,3.32
1701909142,27.08,0.20
1701909157,27.08,3.32
1701909172,27.08,0.20
1701909187,27.08,3.32
1701909202,27.08,3.32
1701909217,27.08,3.32
1701909232,27.08,0.20
1701909247,27.08,0.20
1701909262,27.08,3.32
1701909277,27.08,0.20
1701909292,27.08,3.32
1701909307,27.08,3.32
1701909322,27.08,0.20
1701909337,27.08,0.20
1701909352,27.08,3.32
1701909367,27.08,0.20
1701909382,27.08,0.20
1701909397,27.08,0.20
1701909412,27.08,0.20
1701909427,27.08,0.20
1701909442,27.08,3.32
1701909457,27.08,6.45
1701909472,27.08,3.32
1701909487,27.08,3.32
1701909502,27.08,3.32
1701909517,27.08,3.32
1701909532,27.08,0.20
1701909547,27.33,0.20
1701909562,27.33,6.45
1701909577,27.33,6.45
1701909592,27.33,-2.93
1701909607,27.33,3.32
1701909622,27.33,3.32
1701909637,27.33,6.45
1701909652,27.33,0.20
1701909667,27.33,6.45
1701909682,27.33,0.20
1701909697,27.33,0.20
1701909712,27.33,0.20
1701909727,27.33,0.20
1701909742,27.33,0.20
1701909757,27.33,0.20
1701909772,27.33,3.32
1701909786,27.33,0.20
1701909801,27.33,0.20
1701909816,27.33,3.32
1701909831,27.33,3.32
1701909846,27.33,3.32
1701909861,27.33,3.32
1701909876,27.33,3.32
1701909891,27.33,3.32
1701909906,27.33,3.32
1701909921,27.33,3.32
1701909936,27.33,3.32
1701909951,27.33,0.20
1701909966,27.33,0.20
1701909981,27.33,3.32
1701909996,27.33,3.32
1701910011,27.33,0.20
1701910026,27.33,6.45
1701910041,27.33,0.20
1701910056,27.33,0.20
1701910071,27.33,0.20
1701910086,27.33,3.32
1701910101,27.33,3.32
1701910116,27.33,3.32
1701910131,27.33,0.20
1701910146,27.33,3.32
1701910161,27.33,0.20
1701910176,27.33,3.32
1701910191,27.33,0.20
1701910206,27.33,0.20
1701910221,27.33,0.20
1701910236,27.33,3.32
1701910251,27.33,3.32
1701910266,27.33,3.32
1701910281,27.33,3.32
1701910296,27.33,6.45
1701910311,27.33,0.20
1701910326,27.33,3.32
1701910341,27.33,3.32
1701910356,27.33,3.32
1701910371,27.33,0.20
1701910386,27.33,0.20
1701910401,27.33,0.20
1701910416,27.33,0.20
1701910431,27.33,3.32
1701910446,27.33,0.20
1701910461,27.33,3.32
1701910476,27.33,3.32
1701910491,27.33,3.32
1701910506,27.33,0.20
1701910521,27.33,0.20
1701910536,27.58,3.32
1701910551,27.33,3.32
1701910566,27.33,-2.93
1701910581,27.58,3.32
1701910596,27.33,0.20
1701910611,27.58,3.32
1701910626,27.58,0.20
1701910641,27.58,3.32
1701910656,27.58,0.20
1701910671,27.58,3.32
1701910686,27.58,0.20
1701910701,27.58,3.32
1701910716,27.58,0.20
1701910731,27.58,0.20
1701910746,27.58,0.20
1701910761,27.58,0.20
1701910776,27.58,3.32
1701910791,27.58,3.32
1701910806,27.58,0.20
1701910821,27.58,0.20
1701910836,27.58,0.20
1701910851,27.58,6.45
1701910866,27.58,3.32
1701910881,27.58,-2.93
1701910896,27.58,0.20
1701910911,27.58,0.20
1701910926,27.58,0.20
1701910941,27.58,0.20
1701910956,27.58,0.20
1701910971,27.58,6.45
1701910985,27.58,3.32
