UnixTime,BattT,BFGcurrent
1617627642,26.33,-99.81
1617627653,26.08,-99.81
1617627668,26.08,-99.81
1617627683,25.83,-99.81
1617627698,25.83,-99.81
1617627713,25.58,-109.18
1617627728,25.58,-99.81
1617627743,25.33,-99.81
1617627758,25.33,-99.81
1617627773,25.33,-109.18
1617627788,25.09,-99.81
1617627803,25.09,-99.81
1617627818,24.84,-99.81
1617627833,24.84,-112.31
1617627848,24.84,-90.43
1617627863,24.84,-90.43
1617627878,24.59,-90.43
1617627893,24.59,-90.43
1617627908,24.34,-90.43
1617627923,24.34,-90.43
1617627938,24.34,-90.43
1617627953,24.09,-90.43
1617627968,24.09,-90.43
1617627983,24.09,-90.43
1617627998,23.84,-90.43
1617628013,23.84,-93.56
1617628028,23.84,-90.43
1617628043,23.84,-93.56
1617628058,23.59,-90.43
1617628073,23.59,-93.56
1617628088,23.59,-90.43
1617628103,23.34,-93.56
1617628118,23.34,-90.43
1617628133,23.34,-93.56
1617628148,23.09,-90.43
1617628163,23.09,-93.56
1617628178,23.09,-93.56
1617628193,23.09,-93.56
1617628208,22.84,-93.56
1617628223,22.84,-93.56
1617628238,22.84,-90.43
1617628253,22.84,-93.56
1617628268,22.60,-90.43
1617628283,22.60,-93.56
1617628298,22.60,-90.43
1617628313,22.60,-93.56
1617628328,22.35,-90.43
1617628343,22.35,-90.43
1617628358,22.35,-93.56
1617628373,22.35,-90.43
1617628388,22.10,-93.56
1617628403,22.10,-90.43
1617628418,22.10,-93.56
1617628433,22.10,-90.43
1617628448,21.85,-90.43
1617628463,21.85,-90.43
1617628478,21.85,-90.43
1617628493,21.85,-90.43
1617628508,21.85,-90.43
1617628523,21.60,-90.43
1617628538,21.60,-90.43
1617628553,21.60,-90.43
1617628568,21.60,-90.43
1617628583,21.60,-90.43
1617628598,21.35,-90.43
1617628613,21.35,-90.43
1617628628,21.35,-90.43
1617628643,21.35,-90.43
1617628658,21.35,-90.43
1617628673,21.35,-90.43
1617628688,21.10,-93.56
1617628703,21.10,-90.43
1617628718,21.10,-90.43
1617628733,21.10,-90.43
1617628748,21.10,-90.43
1617628763,21.10,-90.43
1617628778,21.10,-90.43
1617628793,20.85,-93.56
1617628808,20.85,-90.43
1617628823,20.85,-90.43
1617628837,20.85,-90.43
1617628853,20.85,-112.31
1617628868,20.85,-99.81
1617628883,20.85,-112.31
1617628898,20.85,-99.81
1617628913,20.60,-99.81
1617628928,20.60,-99.81
1617628943,20.60,-112.31
1617628958,20.60,-99.81
1617628973,20.60,-99.81
1617628988,20.60,-99.81
1617629003,20.60,-112.31
1617629018,20.35,-99.81
1617629033,20.35,-115.43
1617629048,20.35,-93.56
1617629063,20.35,-90.43
1617629078,20.35,-90.43
1617629093,20.35,-90.43
1617629108,20.35,-93.56
1617629123,20.35,-90.43
1617629138,20.35,-90.43
1617629153,20.11,-90.43
1617629168,20.11,-93.56
1617629183,20.11,-90.43
1617629198,20.11,-90.43
1617629213,20.11,-93.56
1617629228,20.11,-90.43
1617629243,20.11,-93.56
1617629258,19.86,-90.43
1617629273,19.86,-90.43
1617629288,19.86,-90.43
1617629303,19.86,-90.43
1617629318,19.86,-90.43
1617629333,19.86,-90.43
1617629348,19.86,-93.56
1617629363,19.61,-93.56
1617629378,19.61,-90.43
1617629393,19.61,-90.43
1617629408,19.61,-90.43
1617629423,19.61,-90.43
1617629438,19.61,-93.56
1617629453,19.61,-90.43
1617629468,19.36,-93.56
1617629483,19.36,-93.56
1617629498,19.36,-90.43
1617629513,19.36,-90.43
1617629528,19.36,-93.56
1617629543,19.36,-90.43
1617629558,19.36,-93.56
1617629573,19.36,-93.56
1617629588,19.36,-93.56
1617629603,19.36,-90.43
1617629618,19.11,-90.43
1617629633,19.11,-90.43
1617629648,19.11,-93.56
1617629663,19.11,-93.56
1617629678,19.11,-90.43
1617629693,19.11,-93.56
1617629708,19.11,-90.43
1617629723,19.11,-93.56
1617629738,19.11,-90.43
1617629753,19.11,-90.43
1617629768,19.11,-90.43
1617629783,19.11,-93.56
1617629798,18.86,-93.56
1617629813,18.86,-90.43
1617629828,18.86,-93.56
1617629843,18.86,-90.43
1617629858,18.86,-93.56
1617629873,18.86,-93.56
1617629888,18.86,-93.56
1617629903,18.86,-93.56
1617629918,18.86,-90.43
1617629933,18.86,-90.43
1617629948,18.86,-90.43
1617629963,18.86,-93.56
