objectId,temp_out_F,heat_index_F,wind_chill_F,dew_point_F,humidity,barometer,winddir,windspeed,rain_rate,code_version,sampleTime,solarrad_Wm2,observationtime,createdAt,updatedAt
Etln0FNUrp,85,82,85,32,15,26.41,248.0,8,0,21June2024,2024-08-21 17:59:00,16,2024-08-21T23:59:00Z,2024-08-22T00:00:02.110Z,2024-08-22T00:00:02.110Z
iblN1xEmuE,84,81,84,33,16,26.42,248.0,10,0,21June2024,2024-08-21 18:04:00,20,2024-08-22T00:04:00Z,2024-08-22T00:05:02.338Z,2024-08-22T00:05:02.338Z
z1fYUikqQL,82,80,82,36,19,26.42,248.0,9,0,21June2024,2024-08-21 18:09:00,25,2024-08-22T00:09:00Z,2024-08-22T00:10:01.953Z,2024-08-22T00:10:01.953Z
1ofOOEqqd3,81,80,81,38,22,26.42,112.0,5,0,21June2024,2024-08-21 18:14:00,28,2024-08-22T00:14:00Z,2024-08-22T00:15:02.121Z,2024-08-22T00:15:02.121Z
ZG9PAW8tZZ,79,78,79,40,25,26.42,270.0,6,0,21June2024,2024-08-21 18:19:00,32,2024-08-22T00:19:00Z,2024-08-22T00:20:01.686Z,2024-08-22T00:20:01.686Z
qMqZbYKd0E,78,76,78,42,28,26.42,315.0,4,0,21June2024,2024-08-21 18:24:00,37,2024-08-22T00:24:00Z,2024-08-22T00:25:01.910Z,2024-08-22T00:25:01.910Z
JEk7O2uYyk,77,76,77,43,29,26.41,248.0,7,0,21June2024,2024-08-21 18:29:00,35,2024-08-22T00:29:00Z,2024-08-22T00:30:02.607Z,2024-08-22T00:30:02.607Z
LeFaUsgE9Z,77,76,77,42,29,26.41,225.0,4,0,21June2024,2024-08-21 18:34:00,27,2024-08-22T00:34:00Z,2024-08-22T00:35:01.946Z,2024-08-22T00:35:01.946Z
TICGzgN3nn,77,76,77,42,29,26.41,225.0,3,0,21June2024,2024-08-21 18:39:00,25,2024-08-22T00:39:00Z,2024-08-22T00:40:02.045Z,2024-08-22T00:40:02.045Z
9Lts2OhSCM,77,75,77,43,30,26.42,315.0,2,0,21June2024,2024-08-21 18:44:00,25,2024-08-22T00:44:00Z,2024-08-22T00:45:02.141Z,2024-08-22T00:45:02.141Z
LBt7tlTzRg,77,76,77,41,27,26.42,315.0,6,0,21June2024,2024-08-21 18:49:00,23,2024-08-22T00:49:00Z,2024-08-22T00:50:02.430Z,2024-08-22T00:50:02.430Z
kA9c8LPzBc,78,76,78,41,27,26.42,248.0,2,0,21June2024,2024-08-21 18:54:00,25,2024-08-22T00:54:00Z,2024-08-22T00:55:01.694Z,2024-08-22T00:55:01.694Z
mFoxE9Q7l4,78,77,78,40,26,26.42,270.0,5,0,21June2024,2024-08-21 18:59:00,26,2024-08-22T00:59:00Z,2024-08-22T01:00:02.346Z,2024-08-22T01:00:02.346Z
Mb8KPbDbnb,78,77,78,40,25,26.42,315.0,6,0,21June2024,2024-08-21 19:04:00,28,2024-08-22T01:04:00Z,2024-08-22T01:05:01.554Z,2024-08-22T01:05:01.554Z
JQ0mPlfPOi,79,77,79,39,24,26.42,292.0,5,0,21June2024,2024-08-21 19:09:00,25,2024-08-22T01:09:00Z,2024-08-22T01:10:01.676Z,2024-08-22T01:10:01.676Z
9QmM0THYa1,79,77,79,40,25,26.42,135.0,4,0,21June2024,2024-08-21 19:14:00,19,2024-08-22T01:14:00Z,2024-08-22T01:15:01.550Z,2024-08-22T01:15:01.550Z
wSMh8F3Qo1,78,77,78,40,25,26.42,135.0,6,0,21June2024,2024-08-21 19:19:00,16,2024-08-22T01:19:00Z,2024-08-22T01:20:01.490Z,2024-08-22T01:20:01.490Z
BLLFyCuBsj,78,77,78,39,25,26.41,158.0,3,0,21June2024,2024-08-21 19:24:00,14,2024-08-22T01:24:00Z,2024-08-22T01:25:01.614Z,2024-08-22T01:25:01.614Z
